checkout_id,patron_id,book_id,branch_id,checkout_date,return_date,late_fee
CK0001,P008,BK011,B003,2024-01-01,2024-01-04,0.00
CK0002,P011,BK007,B003,2024-01-01,2024-01-22,1.75
CK0003,P019,BK015,B003,2024-01-01,2024-01-07,0.00
CK0004,P015,BK003,B003,2024-01-01,2024-01-06,0.00
CK0005,P018,BK005,B005,2024-01-01,2024-01-10,0.00
CK0006,P012,BK004,B002,2024-01-01,2024-01-12,0.00
CK0007,P004,BK003,B002,2024-01-02,2024-01-15,0.00
CK0008,P013,BK007,B005,2024-01-02,2024-01-12,0.00
CK0009,P001,BK011,B001,2024-01-03,2024-01-16,0.00
CK0010,P009,BK013,B003,2024-01-03,2024-01-07,0.00
CK0011,P015,BK001,B003,2024-01-03,2024-01-14,0.00
CK0012,P004,BK014,B003,2024-01-03,2024-01-16,0.00
CK0013,P005,BK006,B002,2024-01-03,2024-01-14,0.00
CK0014,P017,BK015,B001,2024-01-03,2024-01-15,0.00
CK0015,P012,BK015,B003,2024-01-04,2024-01-10,0.00
CK0016,P019,BK002,B001,2024-01-04,2024-01-18,0.00
CK0017,P005,BK003,B004,2024-01-05,2024-01-16,0.00
CK0018,P020,BK007,B002,2024-01-05,2024-01-16,0.00
CK0019,P007,BK012,B003,2024-01-05,2024-01-14,0.00
CK0020,P015,BK015,B005,2024-01-05,2024-01-15,0.00
CK0021,P003,BK006,B001,2024-01-05,2024-01-17,0.00
CK0022,P008,BK001,B001,2024-01-05,2024-01-19,0.00
CK0023,P002,BK014,B003,2024-01-06,2024-01-10,0.00
CK0024,P016,BK004,B005,2024-01-07,2024-02-14,6.00
CK0025,P019,BK010,B004,2024-01-07,2024-01-13,0.00
CK0026,P014,BK004,B001,2024-01-07,2024-01-11,0.00
CK0027,P014,BK008,B001,2024-01-08,2024-02-12,5.25
CK0028,P004,BK001,B004,2024-01-08,2024-01-22,0.00
CK0029,P004,BK004,B002,2024-01-08,2024-01-14,0.00
CK0030,P014,BK003,B003,2024-01-08,2024-01-30,2.00
CK0031,P003,BK008,B005,2024-01-08,2024-01-12,0.00
CK0032,P001,BK002,B002,2024-01-09,2024-01-14,0.00
CK0033,P007,BK014,B004,2024-01-09,2024-01-12,0.00
CK0034,P013,BK005,B004,2024-01-09,2024-01-16,0.00
CK0035,P018,BK011,B004,2024-01-09,2024-01-14,0.00
CK0036,P002,BK010,B005,2024-01-09,2024-01-12,0.00
CK0037,P002,BK010,B004,2024-01-09,2024-02-22,7.50
CK0038,P002,BK009,B001,2024-01-10,2024-01-15,0.00
CK0039,P008,BK007,B001,2024-01-10,2024-01-22,0.00
CK0040,P002,BK010,B001,2024-01-10,2024-01-19,0.00
CK0041,P011,BK015,B003,2024-01-11,2024-01-17,0.00
CK0042,P008,BK005,B004,2024-01-11,2024-01-16,0.00
CK0043,P015,BK006,B001,2024-01-11,2024-01-14,0.00
CK0044,P019,BK002,B001,2024-01-11,2024-01-22,0.00
CK0045,P005,BK015,B003,2024-01-11,2024-01-15,0.00
CK0046,P010,BK003,B004,2024-01-11,2024-01-22,0.00
CK0047,P001,BK011,B005,2024-01-12,2024-01-19,0.00
CK0048,P005,BK005,B001,2024-01-12,2024-01-16,0.00
CK0049,P009,BK005,B005,2024-01-12,2024-01-18,0.00
CK0050,P009,BK009,B004,2024-01-12,2024-02-24,7.25
CK0051,P002,BK002,B004,2024-01-12,2024-01-19,0.00
CK0052,P005,BK011,B003,2024-01-12,2024-01-17,0.00
CK0053,P014,BK009,B001,2024-01-13,2024-01-30,0.75
CK0054,P005,BK009,B001,2024-01-13,2024-01-21,0.00
CK0055,P014,BK003,B001,2024-01-13,2024-02-08,3.00
CK0056,P012,BK004,B002,2024-01-14,2024-01-27,0.00
CK0057,P014,BK010,B002,2024-01-15,2024-01-21,0.00
CK0058,P006,BK015,B004,2024-01-15,2024-01-18,0.00
CK0059,P011,BK013,B004,2024-01-15,2024-01-28,0.00
CK0060,P008,BK005,B002,2024-01-15,2024-01-29,0.00
CK0061,P002,BK014,B004,2024-01-15,2024-01-21,0.00
CK0062,P015,BK006,B003,2024-01-15,2024-01-21,0.00
CK0063,P013,BK006,B003,2024-01-16,2024-01-20,0.00
CK0064,P012,BK011,B005,2024-01-16,2024-02-21,5.50
CK0065,P018,BK006,B001,2024-01-16,2024-02-28,7.25
