Transaction_ID,Date,Truck_ID,Employee_ID,Menu_Item_ID,Quantity,Unit_Price,Amount,Tip,Payment_Method,Event_ID
TXN00001,11/27/2024,T003,E002,M008,2,12.99,25.98,5.41,VENMO,EV014
TXN00002,01/21/2024,T002,E012,M008,5,13.49,67.45,,Credit Card,
TXN00003,08/06/2024,T003,E002,M001,2,11.49,22.98,1.24,Credit card,EV003
TXN00004,07/17/2024,T003,E002,M020,3,8.99,26.97,4.29,Venmo,
TXN00005,03-06-2024,T003,E005,M019,2,10.99,21.98,,Credit Card,EV003
TXN00006,03-05-2024,T004,E012,M009,4,9.49,37.96,2.84,credit card,EV003
TXN00007,11-11-2024,T002,E004,M006,4,11.49,45.96,7.4,VENMO,EV011
TXN00008,02/02/2024,T001,E012,M011,4,6.99,27.96,,Zelle,EV011
TXN00009,22-04-2024,T004,E009,M021,4,12.99,51.96,1.97,VENMO,EV009
TXN00010,10/30/2024,T004,E002,M012,2,12.99,25.98,0.73,Cash,EV005
TXN00011,11/21/2024,T004,E005,M020,1,11.49,11.49,7.97,VENMO,
TXN00012,10-01-2024,T001,E007,M022,5,6.99,34.95,2.72,credit card,EV006
TXN00013,08/24/2024,T003,E011,M017,2,15.99,31.98,6.96,credit card,
TXN00014,11/11/2024,T003,E010,M025,2,15.99,31.98,7.38,Cash,EV011
TXN00015,09/11/2024,T003,E002,M010,2,8.99,17.98,4.54,CASH,
TXN00016,09-02-2024,T002,E007,M005,4,15.99,63.96,4.22,Zelle,EV007
TXN00017,07-10-2024,T002,E009,M023,3,11.49,34.47,5.2,venmo,EV015
TXN00018,03/06/2024,T001,E002,M011,1,13.49,13.49,4.71,Cash,EV002
TXN00019,05/01/2024,T001,E009,M011,1,15.99,15.99,5.35,Credit Card,EV005
TXN00020,10/23/2024,T002,E006,M016,4,14.99,59.96,,Venmo,EV014
TXN00021,08/02/2024,T001,E004,M022,1,8.99,8.99,2.71,CASH,EV007
TXN00022,04/11/2024,T002,E008,M014,2,6.99,13.98,7.0,CASH,
TXN00023,02/24/2024,T001,E001,M003,2,12.99,25.98,3.85,Venmo,EV006
TXN00024,07/17/2024,T004,E011,M009,4,6.99,27.96,7.66,VENMO,
TXN00025,03/24/2024,T002,E001,M002,5,15.99,79.95,,Credit card,EV002
TXN00026,10/30/2024,T002,E011,M002,5,10.99,54.95,0.55,CASH,EV008
TXN00027,07/29/2024,T002,E010,M019,5,8.99,44.95,3.35,Zelle,
TXN00028,14-06-2024,T002,E008,M022,3,14.99,44.97,1.05,credit card,EV011
TXN00029,02/11/2024,T001,E002,M003,5,14.99,74.95,1.06,Credit card,EV008
TXN00030,07/12/2024,T004,E001,M018,3,13.49,40.47,6.46,VENMO,
TXN00031,06-06-2024,T001,E005,M005,3,10.99,32.97,5.94,cash,EV010
TXN00032,11/09/2024,T003,E002,M007,3,15.99,47.97,7.24,Cash,EV014
